,datetime_cl,carb_pos_low,carb_val_low,datetime_ch,carb_pos_high,carb_val_high,datetime_ph,pp_pos_high,pp_val_high,datetime_pl,pp_pos_low,pp_val_low,datetime_mov,mov_pos,razor_id,datetime_cam,cam_mov_pos,reject
63,2024-03-01 11:01:38.376,0.1661626,620.0,2024-03-01 11:01:38.564,0.98987401,-120.0,2024-03-01 11:01:38.628,0.76323521,860.0,2024-03-01 11:01:38.818,0.00101,860.0,2024-03-01 11:01:38.818,2191.12744141,1005_30,2024-03-01 11:01:41.131,3194.00463867,0.0
64,2024-03-01 11:01:40.814,0.1776486,660.0,2024-03-01 11:01:41.006,0.9923048,250.0,2024-03-01 11:01:41.006,0.76029378,860.0,2024-03-01 11:01:41.195,0.0019422,860.0,2024-03-01 11:01:41.195,2191.06396484,1005_24,2024-03-01 11:01:43.542,3193.90380859,0.0
65,2024-03-01 11:01:41.195,0.1766898,690.0,2024-03-01 11:01:41.387,0.98994482,50.0,2024-03-01 11:01:41.451,0.76800758,850.0,2024-03-01 11:01:41.641,0.0001362,860.0,2024-03-01 11:01:41.641,2190.96801758,1005_23,2024-03-01 11:01:44.049,3193.85229492,0.0
66,2024-03-01 11:01:42.019,0.176691,680.0,2024-03-01 11:01:42.209,0.9898898,-10.0,2024-03-01 11:01:42.273,0.76800758,850.0,2024-03-01 11:01:42.464,0.0233616,860.0,2024-03-01 11:01:42.464,2191.20288086,1005_21,2024-03-01 11:01:44.746,3194.05151367,0.0
67,2024-03-01 11:01:43.606,0.17664979,660.0,2024-03-01 11:01:43.796,0.98982942,-120.0,2024-03-01 11:01:43.859,0.76323837,860.0,2024-03-01 11:01:44.049,0.010602,860.0,2024-03-01 11:01:44.049,2191.08007813,1006_17,2024-03-01 11:01:46.462,3193.97973633,0.0
68,2024-03-01 11:01:44.428,0.1763262,650.0,2024-03-01 11:01:44.618,0.99272478,180.0,2024-03-01 11:01:44.682,0.76105261,860.0,2024-03-01 11:01:44.872,0.0024274,860.0,2024-03-01 11:01:44.872,2191.19946289,1006_15,2024-03-01 11:01:47.092,3194.03979492,0.0
69,2024-03-01 11:01:46.462,0.17764901,660.0,2024-03-01 11:01:46.655,0.99229258,100.0,2024-03-01 11:01:46.723,0.76123238,860.0,2024-03-01 11:01:46.844,0.0158006,860.0,2024-03-01 11:01:46.844,2191.0078125,1006_10,2024-03-01 11:01:49.309,3193.90795898,0.0
70,2024-03-01 11:01:47.219,0.17636541,660.0,2024-03-01 11:01:47.411,0.99284822,250.0,2024-03-01 11:01:47.411,0.76017278,860.0,2024-03-01 11:01:47.603,0.0019502,860.0,2024-03-01 11:01:47.603,2190.87646484,1006_08,2024-03-01 11:01:50.004,3193.75585938,0.0
71,2024-03-01 11:01:47.980,0.1661506,620.0,2024-03-01 11:01:48.169,0.98989338,-110.0,2024-03-01 11:01:48.231,0.76326239,860.0,2024-03-01 11:01:48.420,0.0009956,860.0,2024-03-01 11:01:48.420,2191.03588867,1006_06,2024-03-01 11:01:50.763,3193.91235352,0.0
72,2024-03-01 11:01:50.068,0.17664739,700.0,2024-03-01 11:01:50.258,0.99229079,180.0,2024-03-01 11:01:50.258,0.76877642,860.0,2024-03-01 11:01:50.445,0.0022936,860.0,2024-03-01 11:01:50.445,2191.26757813,1006_01,2024-03-01 11:01:52.777,3194.13574219,0.0
73,2024-03-01 11:01:51.651,0.1661334,620.0,2024-03-01 11:01:51.850,0.99269438,160.0,2024-03-01 11:01:51.928,0.76094019,860.0,2024-03-01 11:01:52.075,0.0231722,860.0,2024-03-01 11:01:52.075,2191.1328125,1006_33,2024-03-01 11:01:54.488,3193.99511719,0.0
74,2024-03-01 11:02:04.690,0.1766956,680.0,2024-03-01 11:02:04.882,0.98995417,100.0,2024-03-01 11:02:04.945,0.77989721,850.0,2024-03-01 11:02:05.133,0.0224316,860.0,2024-03-01 11:02:05.133,2191.21948242,2001_19,2024-03-01 11:02:07.605,3194.0559082,0.0
75,2024-03-01 11:02:07.921,0.1766592,690.0,2024-03-01 11:02:08.110,0.99277258,160.0,2024-03-01 11:02:08.173,0.76105517,860.0,2024-03-01 11:02:08.365,0.022769,860.0,2024-03-01 11:02:08.365,2191.23144531,2001_11,2024-03-01 11:02:10.828,3194.12402344,0.0
76,2024-03-01 11:02:10.323,0.1766682,670.0,2024-03-01 11:02:10.512,0.98982161,-120.0,2024-03-01 11:02:10.576,0.76105201,850.0,2024-03-01 11:02:10.765,0.0001144,860.0,2024-03-01 11:02:10.765,2191.20385742,2001_05,2024-03-01 11:02:13.235,3194.11621094,0.0
77,2024-03-01 11:02:11.522,0.16613039,600.0,2024-03-01 11:02:11.713,0.98971921,110.0,2024-03-01 11:02:11.777,0.76106662,860.0,2024-03-01 11:02:11.968,0.0182972,860.0,2024-03-01 11:02:11.968,2191.10791016,2001_02,2024-03-01 11:02:14.437,3194.00830078,0.0
